"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I would like to check the CRUD functionality of reqres.in","I want to create a user to the application","SUCCESS","2022-06-21T19:34:51.353+01:00[Europe/London]","0.0","7.77"
"As a user I would like to check the CRUD functionality of reqres.in","I want to read all users from the application and verify some items from response","SUCCESS","2022-06-21T19:35:03.212+01:00[Europe/London]","0.0","1.67"
"Users CRUD test","This will create a user","SUCCESS","2022-06-21T19:34:51.353+01:00[Europe/London]","0.0","7.54"
"Users CRUD test","This will update a user by PUT","SUCCESS","2022-06-21T19:34:59.492+01:00[Europe/London]","0.0","0.21"
"Users CRUD test","This will update a user by Patch","SUCCESS","2022-06-21T19:34:59.701+01:00[Europe/London]","0.0","0.19"
"Users CRUD test","This will Delete a user ","SUCCESS","2022-06-21T19:34:59.898+01:00[Europe/London]","0.0","0.17"
"Users CRUD test","1. This will verify if Page = 2","SUCCESS","2022-06-21T19:35:00.063+01:00[Europe/London]","0.0","0.18"
"Users CRUD test","2. This will if verify Per_page = 6","SUCCESS","2022-06-21T19:35:00.244+01:00[Europe/London]","0.0","0.19"
"Users CRUD test","3. This will if verify second data id = 8","SUCCESS","2022-06-21T19:35:00.438+01:00[Europe/London]","0.0","0.19"
"Users CRUD test","4. This will if verify forth data first_name = Byron","SUCCESS","2022-06-21T19:35:00.630+01:00[Europe/London]","0.0","0.18"
"Users CRUD test","5. This will if verify list of data = 6","SUCCESS","2022-06-21T19:35:00.819+01:00[Europe/London]","0.0","0.13"
"Users CRUD test","6. This will if verify fifth data avatar=https://reqres.in/img/faces/12-image.jpg","SUCCESS","2022-06-21T19:35:00.950+01:00[Europe/London]","0.0","0.23"
"Users CRUD test","7. This will if verify support.url =https://reqres.in/#support-heading","SUCCESS","2022-06-21T19:35:01.185+01:00[Europe/London]","0.0","0.18"
"Users CRUD test","8. This will if verify support.text = To keep ReqRes free, contributions towards server costs are appreciated!","SUCCESS","2022-06-21T19:35:01.376+01:00[Europe/London]","0.0","0.16"
